transaction_id,customer_id,transaction_date,amount,payment_method
10001,102,17-01-2022,1768.82,Card
10002,429,24-08-2022,1575.68,Card
10003,874,21-04-2022,2933.33,Wallet
10004,722,27-07-2022,2540.84,UPI
10005,954,22-02-2023,2939.73,UPI
10006,255,29-08-2022,1504.64,Card
10007,532,30-03-2023,1898.09,Wallet
10008,570,23-06-2022,511.1,Wallet
10009,112,02-08-2021,356.15,Card
10010,985,15-03-2021,1341.94,Wallet
10011,313,02-03-2021,463.81,Card
10012,998,29-11-2022,608.5,UPI
10013,461,27-06-2022,4083.35,UPI
10014,708,07-08-2021,290.48,Wallet
10015,887,12-01-2021,3328.82,UPI
10016,462,25-03-2023,1435.53,UPI
10017,865,19-02-2022,4370.57,Card
10018,92,01-02-2021,2476.46,Card
10019,52,09-06-2021,1597.32,Wallet
10020,805,25-08-2021,2636.43,Card
10021,520,09-01-2023,1971.59,Wallet
10022,812,30-06-2021,2865.08,Wallet
10023,98,09-04-2023,661.21,Card
10024,236,12-07-2022,4985.25,UPI
10025,901,07-12-2021,2185.22,UPI
10026,374,03-04-2022,1806.33,UPI
10027,581,21-03-2021,3580.03,UPI
10028,927,09-10-2022,1883.11,Wallet
10029,557,11-02-2023,4183.04,UPI
10030,649,31-03-2023,2325.93,Wallet
10031,234,29-01-2023,3625.84,Card
10032,32,18-04-2022,626.52,Card
10033,289,02-11-2022,4245.98,Wallet
10034,638,16-12-2022,3705.02,UPI
10035,579,22-04-2021,1137.41,Wallet
10036,542,19-10-2021,811.9,UPI
10037,114,02-04-2023,1649.83,UPI
10038,204,23-09-2022,4882.75,Wallet
10039,29,18-01-2022,1358.47,Wallet
10040,643,17-01-2021,2335.02,UPI
10041,474,08-05-2022,247.1,Wallet
10042,697,27-11-2021,2046.41,UPI
10043,253,09-01-2023,2899.47,Wallet
10044,798,23-05-2023,4770.31,Card
10045,905,01-05-2022,2632.01,UPI
10046,922,10-02-2022,4113.63,Card
10047,386,27-04-2021,2780.93,Wallet
10048,62,09-07-2022,299.85,Card
10049,515,30-05-2023,1643.54,Wallet
10050,430,25-04-2021,2920.19,UPI
10051,580,06-03-2023,4757.91,Wallet
10052,537,03-07-2022,4309.74,Wallet
10053,691,25-03-2023,1218.94,UPI
10054,141,17-09-2022,1178.54,Wallet
10055,743,01-07-2022,1085.75,UPI
10056,300,06-10-2022,4620.24,Wallet
10057,675,02-12-2021,4278.06,UPI
10058,311,02-12-2021,3896.93,Card
10059,471,08-06-2023,2024.4,Wallet
10060,393,10-01-2023,2571.47,Wallet
10061,642,27-05-2021,2375.23,Wallet
10062,445,02-05-2021,1341.65,UPI
10063,758,22-03-2021,2574.64,Wallet
10064,809,16-11-2022,249.43,UPI
10065,172,28-10-2022,745.87,Wallet
10066,576,24-10-2022,4444.29,Card
10067,31,10-01-2022,3783.23,Wallet
